,id,label,statement,subject,speaker,speaker_title,State,party_affiliation,barely_true,false,half_true,mostly_true,pants_on_fire,context,Polarity,sentiment_score,variation,sensational_value,label_value
13,8705.json,barely-true,affordable care act already sense waived otherwise suspended,health-care,george-will,Columnist,Maryland,columnist,7,6,3,5,1,"comments on ""Fox News Sunday""",1,0,0.005,0,5
14,10683.json,half-true,last election november 63 percent american people chose vote 80 percent young people 75 percent low income workers chose vote,elections,bernie-s,U.S. Senator,Vermont,independent,18,12,22,41,0,"a town hall in Austin, Texas",1,0,0,0,2
15,620.json,TRUE,mccain opposed requirement government buy american made motorcycles said buy american provisions quote disgraceful,federal-budget,barack-obama,President,Illinois,democrat,70,71,160,163,9,a radio ad,0,0,0,0,0
16,3863.json,barely-true,u rep ron kind wis fellow democrats went spending spree credit card maxed,federal-budget,national-republican-congressional-committee,,,republican,18,9,8,5,8,a news release,1,1,0.24,0,5
17,12372.json,half-true,water rates manila philippines raised 845 percent subsidiary world bank became partial owner,"financial-regulation,foreign-policy,water",gwen-moore,U.S. House member -- 4th District,Wisconsin,democrat,3,4,4,3,1,a congressional hearing,-1,0,0,0,2
18,12385.json,mostly-true,almost 100 000 people left puerto rico last year,"bankruptcy,economy,population",jack-lew,Treasury secretary ,"Washington, D.C. ",democrat,0,1,0,1,0,an interview with Bloomberg News,0,0,0,0,1
19,10173.json,FALSE,women men making less adjust inflation john kitzhaber first elected governor,"economy,income",dennis-richardson,state representative,Oregon,republican,0,4,1,2,0,a campaign debate,1,0,0,0,4
20,9867.json,mostly-true,united states highest corporate tax rate free world,"corporations,taxes",eric-bolling,"Co-host on Fox News Channel's ""The Five""",,none,2,1,1,1,0,"a discussion on Fox News' ""The Five""",1,1,0.357,1,1
21,12408.json,mostly-true,best year auto industry america history,economy,hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,remarks at a Kentucky rally,1,1,0.244,0,1
22,2673.json,half-true,says scott walker favors cutting 350 000 families children health care,"health-care,message-machine",greater-wisconsin-political-fund,,Wisconsin,none,3,3,3,1,1,a campaign TV ad,-1,1,0.209,0,2
23,7057.json,barely-true,says mitt romney wants get rid planned parenthood,"abortion,federal-budget,health-care",planned-parenthood-action-fund,Advocacy group,"Washington, D.C.",none,1,0,0,0,0,a radio ad,1,0,0,0,5
24,10215.json,FALSE,dont know jonathan gruber,health-care,nancy-pelosi,House Minority Leader,California,democrat,3,7,11,2,3,a news conference,0,0,0,0,4
25,12517.json,mostly-true,hate crimes american muslims mosques tripled paris san bernardino,"crime,diversity,homeland-security,terrorism",hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,a speech after a terrorist attack in Orlando,-1,-1,0.222,0,1
26,3910.json,half-true,rick perry never lost election remains person texas governorship three times landslide elections,candidates-biography,ted-nugent,musician,Texas,republican,0,0,2,0,2,an oped column.,0,1,0.212,0,2
27,11092.json,FALSE,isis supporter tweeted 10 34 shooting began 10 45 chattanooga tenn,"technology,terrorism",pamela-geller,President of American Freedom Defense Intitiative,New York,activist,0,1,1,0,0,a tweet ,0,1,0.139,0,4
28,12163.json,mostly-true,youth unemployment minority communities 40 45 percent,"diversity,economy,jobs",peter-kinder,Lieutenant governor,Missouri,republican,0,0,0,1,1,a gubernatorial debate,0,-1,0.225,0,1
29,13237.json,TRUE,says paul ryan still endorsing trump,"candidates-biography,elections,campaign-advertising",hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,a tweet,0,0,0,0,0
30,5383.json,barely-true,look states right work constantly budget deficits good business climates,"economy,labor,states,unions,workers",nicholas-kettle,State senator,Rhode Island,republican,1,0,0,0,0,a radio talk show,1,1,0.122,0,5
31,9727.json,FALSE,obama administration going come next several months youre even going able burn coal limitedly existing plants,"climate-change,energy,environment,government-regulation",shelley-moore-capito,U.S. House of Representative,West Virginia,republican,1,1,0,0,0,a campaign ad,1,0,0,0,4
32,8239.json,mostly-true,cut business taxes today 70 percent businesses dont pay business tax,"small-business,taxes",rick-scott,Governor,Florida,republican,28,23,38,34,7,a speech at an Americans for Prosperity Foundation conference,0,-1,0.049,0,1
33,10121.json,mostly-true,says mark pryor votes obama 93 percent time,"bipartisanship,voting-record",tom-cotton,U.S. House of Representatives,Arkansas,republican,3,4,2,3,1,a debate,0,0,0,0,1
34,7550.json,TRUE,federal government thinks authority regulate toilet seats,"consumer-safety,corrections-and-updates,government-regulation,market-regulation,states,supreme-court,workers",ted-cruz,Senator,Texas,republican,36,33,15,19,8,a speech at CPAC,-1,0,0.085,0,0
35,9018.json,TRUE,austin city basically doubled size every 25 years since founded,"city-government,population",lee-leffingwell,Austin mayor,Texas,democrat,1,0,4,1,0,"his ""State of the City"" address",0,0,0,0,0
36,1038.json,TRUE,nuclear test conducted nation time earth 2 054th nuclear test five permanent members u n security council conducted 99 99 percent total nuclear tests,military,north-korea,,,none,0,0,0,0,0,a released statement,0,1,0.07,0,0
37,2940.json,pants-fire,case catastrophic event atlanta area offices centers disease control prevention self destruct,"health-care,pop-culture",walking-dead,,,none,0,0,0,0,1,the TV show's season finale,0,-1,0.151,0,3
38,8492.json,TRUE,president george w bush added 4 9 trillion debt president obama weve added 6 5 trillion debt,debt,kelly-ayotte,U.S. Senator,New Hampshire,republican,2,1,1,4,0,"a town hall meeting in Hudson, N.H.",0,-1,0.2,0,0
39,5352.json,FALSE,says u supreme court justice suggested u cases decided based south african law,"legal-issues,supreme-court",marco-rubio,U.S. Senator,Florida,republican,33,24,32,35,5,a speech at the CPAC conference,0,1,0.304,1,4
40,12027.json,half-true,says marco rubio skipped 18 defense votes including one arm kurds fight isis,"military,voting-record",keep-promise-1-pac,,,republican,0,1,1,0,0,a TV ad,0,-1,0.061,0,2
41,5210.json,pants-fire,rep david cicilline responsible federal loan guarantee solyndra failed solar company,"energy,stimulus",national-republican-congressional-committee,,,republican,18,9,8,5,8,a news release,-1,0,0.049,0,3
42,7993.json,pants-fire,says ohio budget item later signed law gov john kasich requires women seeking abortion undergo mandatory vaginal probe,"abortion,pundits,women",rachel-maddow,MSNBC host,,none,6,6,4,6,1,"On ‰ÛÏThe Rachel Maddow Show,‰Û broadcast on MSNBC",0,0,0.058,0,3
43,1926.json,FALSE,director homeland security cannot use use term terrorist attack instead substitutes man made disaster,"homeland-security,terrorism",jerry-patterson,state land commissioner,Texas,republican,1,1,1,3,0,a speech at the Texas Republican Party Convention,0,-1,0.125,0,4
44,11418.json,half-true,african american youth unemployment 51 percent hispanic youth unemployment 36 percent,"diversity,economy,jobs",bernie-s,U.S. Senator,Vermont,independent,18,12,22,41,0,a Democratic presidential debate in Las Vegas,0,-1,0.367,1,2
45,7990.json,pants-fire,obamacare provide insurance non u residents even illegally,"health-care,immigration",chain-email,,,none,11,43,8,5,105,a long-running chain email,-1,0,0,0,3
46,3652.json,FALSE,president barack obama took exactly none deficit reduction commissions ideas one,"deficit,federal-budget",john-boehner,Speaker of the House of Representatives,Ohio,republican,13,22,11,4,2,an interview with ABC news,1,-1,0.162,0,4
47,12848.json,pants-fire,barack obama hillary clinton changed rules engagement probably cost capt humayun khans life,"iraq,military",katrina-pierson,,,republican,0,0,0,0,1,an interview on CNN.,0,1,0.13,0,3
48,13503.json,TRUE,hillary clinton 2005 co sponsored legislation would jail flag burners,patriotism,blog-posting,,,none,7,19,3,5,44,Townhall.com ,-1,0,0,0,0
49,4930.json,barely-true,says paperback edition mitt romneys book deleted line massachusetts individual mandate model country,"health-care,states",rick-perry,Governor,Texas,republican,30,30,42,23,18,a Republican presidential debate in Iowa,0,0,0,0,5
50,13210.json,barely-true,maggie hassan raised tuition making highest america,education,national-republican-senatorial-committee,,,republican,11,5,7,2,5,an ad,0,0,0,0,5
51,8187.json,FALSE,says terry mcauliffe person invented scheme rent lincoln bedroom,"campaign-finance,ethics,history",ken-cuccinelli,Attorney General,Virginia,republican,1,10,3,2,1,a speech.,0,0,0,0,4
52,12758.json,TRUE,created 800 000 new jobs cut unemployment rate almost half today new york state private sector jobs ever history,jobs,andrew-cuomo,Governor,New York,democrat,1,0,0,1,0,"a conversation with reporters in Victor, NY.",1,-1,0.086,0,0
53,10693.json,barely-true,towns west texas water truck water,water,sid-miller,State agriculture commissioner,Texas,republican,1,2,2,0,1,a symposium on water hosted by the Texas Tribune,0,0,0,0,5
54,13077.json,half-true,georgia women earn 82 cents every dollar earned men,"jobs,women",jim-barksdale,Senate Candidate,Georgia,democrat,0,0,2,0,0,On his campaign website,0,0,0,0,2
55,3283.json,half-true,federal system verifies employees authorized work u inaccurate anywhere 50 percent way excess 80 percent time,immigration,david-raynor,"Senior Vice President, Government Affairs, Georgia Chamber of Commerce",Georgia,none,0,0,1,0,0,a state legislative committee meeting,0,0,0,0,2
56,12981.json,barely-true,going build wall ago long ago like 06 couldnt get environmental impact statements,immigration,donald-trump,President-Elect,New York,republican,63,114,51,37,61,an interview on Fox News,-1,1,0.112,0,5
57,812.json,FALSE,sen obama campaign announced choosing cabinet,elections,john-mccain,U.S. senator,Arizona,republican,31,39,31,37,8,"a rally in Bensalem, Pa.",0,0,0,0,4
58,7548.json,mostly-true,2008 54 percent latinos texas registered vote 35 percent actually turned,"elections,population",battleground-texas,,Texas,democrat,0,0,0,1,0,"an adviser's interview on the ""Colbert Report.""",0,0,0,0,1
59,6000.json,FALSE,2 percent public high schools country offer pe classes,"education,health-care",michelle-obama,,Illinois,democrat,0,2,1,4,0,an interview with NPR,1,0,0,0,4
60,321.json,mostly-true,said republican candidate actually turned around government economy,job-accomplishments,rudy-giuliani,Attorney,New York,republican,9,11,10,7,3,"a debate in Boca Raton, Fla.",0,0,0,0,1
61,1779.json,TRUE,military recruiters harvard elena kagan took position supreme court ruled unanimously wrong,"education,gays-and-lesbians,kagan-nomination,military,supreme-court",john-barrasso,Senator,Wyoming,republican,1,0,0,0,0,an interview on Fox News,-1,1,0.167,0,0
62,1833.json,mostly-true,321 092 public school teachers texas 313 850 non teachers public schools,"education,message-machine,taxes",empower-texans,,Texas,none,1,0,0,1,0,a Web video,0,0,0,0,1
63,8584.json,FALSE,mayor cicilline providence sanctuary city,"history,homeland-security,immigration,legal-issues,pundits",john-depetro,Talk-show host,Rhode Island,talk-show-host,0,3,0,0,3,a statement on WPRO-AM,0,0,0,0,4
64,10829.json,pants-fire,transgender individuals u 1 12 chance murdered,"corrections-and-updates,crime,criminal-justice,sexuality",garnet-coleman,"president, ceo of Apartments for America, Inc.",Texas,democrat,1,0,1,0,1,a committee hearing,0,-1,0.156,0,3
65,6612.json,TRUE,bain capital helped start early childhood learning company called bright horizons first lady michelle obama rightly praised,"candidates-biography,job-accomplishments",mitt-romney,Former governor,Massachusetts,republican,34,32,58,33,19,remarks at the Republican National Convention in Tampa,1,1,0.243,0,0
66,12056.json,FALSE,says man rushed stage dayton ohio chatter isis isis social media posts,"civil-rights,elections,terrorism",donald-trump,President-Elect,New York,republican,63,114,51,37,61,"an interview on ""Meet the Press""",1,0,0,0,4
67,6161.json,barely-true,u rep phil gingrey gave government power electronically spy americans without warrant,"criminal-justice,terrorism",michael-opitz,,Georgia,republican,1,0,0,0,0,a YouTube ad,0,0,0,0,5
68,2526.json,barely-true,alex sink funneled three quarters million dollars bid contracts bank america,"economy,financial-regulation,message-machine",rick-scott,Governor,Florida,republican,28,23,38,34,7,a TV ad.,0,0,0.073,0,5
69,3786.json,TRUE,take population growth virginia net zero job creation since bob mcdonnell became governor,jobs,terry-mcauliffe,Governor,Virginia,democrat,12,6,2,2,3,a speech.,0,1,0.198,0,0
70,6697.json,barely-true,obama home values florida collapsed construction jobs lost state high foreclosure rate,"housing,message-machine-2012",mitt-romney,Former governor,Massachusetts,republican,34,32,58,33,19,a campaign ad,1,-1,0.142,0,5
71,1738.json,mostly-true,new arizona immigration law says police officer stop anyone appears reasonably suspicious undocumented person,"immigration,legal-issues",alfredo-gutierrez,Former state Senator,Arizona,democrat,0,0,0,1,0,an interview on MSNBC's Hardball,1,-1,0.164,0,1
72,7425.json,mostly-true,time history debt higher end world war ii,debt,david-cote,President and CEO of Honeywell International,,none,0,0,0,1,0,a speech during a ‰ÛÏFix the Debt‰Û press event,1,-1,0.252,0,1
73,10039.json,mostly-true,cost health care single biggest factor driving federal budget deficit,"deficit,federal-budget,health-care",barack-obama,President,Illinois,democrat,70,71,160,163,9,a speech at Northwestern University,-1,0,0.025,0,1
74,2166.json,TRUE,recession consumer native perversity begun save savings rate 6 2 percent,"economy,abc-news-week",george-will,Columnist,Maryland,columnist,7,6,3,5,1,"a roundtable discussion on ABC's ""This Week""",0,-1,0.121,0,0
75,1978.json,FALSE,whether u supreme court nominee forthcoming confirmation hearings,"kagan-nomination,supreme-court",elena-kagan,U.S. solicitor general,New York,democrat,0,0,1,0,0,a law review article,0,1,0.247,0,4
76,3005.json,barely-true,says one three u homeless men veteran,"poverty,veterans",texas-veterans-commission,,,none,1,0,0,0,0,a newspaper article.,0,0,0,0,5
77,9165.json,FALSE,says charlie crist supports cuts medicare advantage program,"health-care,medicare",republican-party-florida,,,republican,10,6,6,6,4,a Facebook post,0,1,0.167,0,4
78,2109.json,half-true,think unacceptable chinese today larger wind power solar panels photovoltaic manufacturing europe put together forget united states,energy,maurice-ferre,Former mayor of Miami,Florida,democrat,1,0,1,0,0,an editorial board meeting,0,-1,0.058,0,2
79,10053.json,TRUE,says scott brown co sponsored legislation let employers deny women coverage birth control,"health-care,legal-issues,women",jeanne-shaheen,Senator,New Hampshire,democrat,3,0,4,2,0,a news release,0,-1,0.156,0,0
80,9613.json,half-true,point lives 99 women use birth control,sexuality,susan-happ,Jefferson County District Attorney,Wisconsin,democrat,0,0,1,0,0,a press release,0,0,0,0,2
81,3146.json,FALSE,past 20 years egypt made great strides political democratic reform,"foreign-policy,abc-news-week",sameh-shoukry,,,none,0,1,0,0,0,"an interview on ABC's ""This Week with Christiane Amanpour.""",1,1,0.227,0,4
82,8755.json,FALSE,amount attention paid week chris christie makes coverage benghazi pale significance,"terrorism,transportation",karl-rove,,Texas,republican,2,5,2,8,0,"comments on ""Fox News Sunday""",-1,1,0.104,0,4
83,9989.json,TRUE,says u rep steve southerland voted keep shutdown going,federal-budget,gwen-graham,,Florida,democrat,0,0,1,0,0,a campaign commercial,0,0,0,0,0
84,2044.json,half-true,rick perrys texas import nurses countries,health-care,bill-white,Former mayor of Houston,Texas,democrat,2,3,5,7,3,a speech at the Texas Democratic Party convention,-1,0,0,0,2
85,11657.json,mostly-true,federal criminal law says crime transport dentures across state lines,public-health,bob-goodlatte,U.S. Congressman,Virginia,republican,0,1,4,3,0,a radio interview.,-1,-1,0.347,1,1
86,11131.json,mostly-true,built new prison every 10 days 1990 2005 keep mass incarceration explosion nonviolent offenders,"crime,criminal-justice",cory-booker,U.S. senator,New Jersey,democrat,0,4,2,8,0,a post on Instagram,1,-1,0.225,0,1
87,767.json,barely-true,sen mccain tax plan provides virtually nothing middle class,taxes,joe-biden,U.S. senator,Delaware,democrat,11,10,21,16,4,vice presidential debate in St. Louis,0,0,0,0,5
88,10263.json,FALSE,austin burdened fastest growing tax increases major city nation,"city-budget,city-government,taxes",jim-skaggs,"Treasurer, Citizens Against Rail Taxes",Texas,none,0,1,0,0,0,as quoted in a news story,1,-1,0.162,0,4
89,1969.json,FALSE,phoenix arizona 2 kidnapping capital world,immigration,john-mccain,U.S. senator,Arizona,republican,31,39,31,37,8,comments on 'Meet the Press',0,-1,0.196,0,4
90,10386.json,TRUE,belong afl cio,"candidates-biography,labor",rick-perry,Governor,Texas,republican,30,30,42,23,18,Texas Public Policy Foundation policy orientation,0,0,0,0,0
91,2020.json,mostly-true,insurance commissioner cant squat health care,health-care,ralph-hudgens,,Georgia,republican,0,0,0,1,0,a radio interview broadcast over the Internet,0,1,0.286,1,1
92,4264.json,half-true,says poll found republican candidate could beat barack obama texas eight points,polls,mitt-romney,Former governor,Massachusetts,republican,34,32,58,33,19,a New Hampshire town hall.,0,0,0,0,2
93,6359.json,barely-true,president ronald reagan sent troops conflict one circumstance grenada peacekeeping setting lebanon,"foreign-policy,history,military",mitt-romney,Former governor,Massachusetts,republican,34,32,58,33,19,an interview on 'Face the Nation.',0,0,0.028,0,5
94,8931.json,barely-true,says david jolly supports privatizing social security,social-security,florida-democratic-party,,Florida,democrat,5,4,4,5,3,a robocall to 13th Congressional District voters,1,1,0.672,1,5
95,9213.json,TRUE,know us population growth lowest since great depression,"immigration,population",robert-sarvis,"lawyer, businessman",Virginia,libertarian,0,0,0,1,0,a tweet.,1,0,0.017,0,0
96,7599.json,mostly-true,average student florida actually pay pocket major universities tuition much less spend cellphones,education,will-weatherford,State Representative,Florida,republican,2,3,4,3,0,a Board of Governors meeting,-1,0,0.048,0,1
97,7258.json,TRUE,since 1968 americans died gunfire died wars countrys history,guns,mark-shields,Columnist and commentator,"Washington, D.C.",none,1,0,0,0,0,the PBS NewsHour,1,-1,0.43,1,0
98,7128.json,mostly-true,foreclosure tax would take effect 2013 could mean high tax bill facing foreclosure millions families modified mortgage short sale lender,housing,national-association-realtors,,,none,0,0,0,1,0,a web post,-1,-1,0.091,0,1
99,5667.json,FALSE,florida department agricultures website freshfromflorida com used get permit carry loaded hidden gun without ever leaving house,guns,brady-campaign-prevent-gun-violence,,,none,1,1,0,0,0,a congressional briefing,-1,-1,0.098,0,4
100,4170.json,pants-fire,atlanta streetcar expected create 930 jobs construction totaling 5 600 jobs next 20 years,transportation,federal-transit-administration,,,none,0,0,0,0,1,a press release,1,1,0.095,0,3
101,10072.json,mostly-true,raising minimum wage 10 10 hour would help lift million americans poverty,"income,message-machine-2014,poverty",alison-lundergan-grimes,Secretary of State,Kentucky,democrat,2,2,3,1,0,a debate,0,0,0.028,0,1
102,10624.json,mostly-true,says secretary state john kerry senator flew managua met communist dictator daniel ortega accused reagan administration engaging terrorism,"foreign-policy,history,terrorism",mitch-mcconnell,Senate minority leader,Kentucky,republican,7,6,5,7,0,"an interview on CNN's ""State of the Union""",1,-1,0.122,0,1
103,13142.json,FALSE,nato opening major terror division im sure im going get credit largely saying criticism nato,"foreign-policy,military,terrorism",donald-trump,President-Elect,New York,republican,63,114,51,37,61,a presidential debate at Hofstra University,1,-1,0.069,0,4
104,338.json,TRUE,sen obama always 100 percent prochoice rating,abortion,barack-obama,President,Illinois,democrat,70,71,160,163,9,an e-mail message sent to voters before Super Tuesday.,0,0,0,0,0
105,7848.json,half-true,since gina raimondo took office investment fees states pension portfolio gone 12 million annually 50 million,"candidates-biography,economy,pensions,retirement,state-finances,wealth,workers",frank-caprio,R.I. General Treasurer,Rhode Island,democrat,0,0,4,0,0,"an appearance on ""10 News Conference""",0,0,0,0,2
106,2820.json,TRUE,federal debt growing 4 billion day,"deficit,economy,federal-budget",rick-perry,Governor,Texas,republican,30,30,42,23,18,"in ""Fed Up! Our Fight to Save America from Washington""",1,-1,0.06,0,0
107,4456.json,half-true,president barack obamas jobs bill states would longer lay teachers firefighters police officers,jobs,david-scott,Congressman ,Georgia,democrat,0,0,2,1,0,a WABE-FM (90.1) radio interview,0,-1,0.109,0,2
108,7796.json,FALSE,98 000 teachers k 12 53 000 teachers today 50 years old,"education,retirement",terry-mcauliffe,Governor,Virginia,democrat,12,6,2,2,3,a speech.,1,0,0,0,4
109,7467.json,mostly-true,two thirds wisconsinites receiving unemployment checks required search work due current work search exemptions,"government-regulation,jobs,poverty,welfare",scott-walker,Milwaukee County Executive,Wisconsin,republican,26,41,32,40,11,a speech,-1,-1,0.139,0,1
110,8654.json,half-true,president obamas health care reforms premium average plan family didnt go 2 500 per year gone 2 500 per year,"corporations,economy,health-care,public-health,workers",ron-johnson,,Wisconsin,republican,14,6,10,10,1,an interview,-1,0,0,0,2
111,9492.json,half-true,irs also investigated liberal groups groups progressive name irs basically looking everybody,"elections,taxes",donna-brazile,Political commentator,"Washington, D.C.",democrat,0,1,4,7,0,"comments on CNN's ""State of the Union""",0,0,0,0,2
112,6895.json,barely-true,says obama promised unemployment would never go 8 percent,jobs,paul-ryan,U.S. Representative,Wisconsin,republican,19,6,16,14,2,a vice presidential debate,0,0,0.032,0,5
113,10423.json,TRUE,economy creating jobs fastest pace since 1999,"economy,jobs",barack-obama,President,Illinois,democrat,70,71,160,163,9,the State of the Union address,0,1,0.18,0,0
114,6767.json,mostly-true,president obama decided meet prime minister benjamin netanyahu new york,"foreign-policy,israel,message-machine-2012",adam-hasner,,Florida,republican,2,1,4,4,0,a press release from the Mitt Romney campaign,1,0,0,0,1
115,11043.json,mostly-true,majority states marry freely still fired love,"civil-rights,gays-and-lesbians,states",mark-pocan,"State Assembly member, 78th District",Wisconsin,democrat,1,2,2,3,0,a statement,1,1,0.103,0,1
116,4357.json,pants-fire,say oregon reps peter defazio earl blumenauer socialists openly serving u congress,candidates-biography,blog-posting,,,none,7,19,3,5,44,web pages,0,0,0,0,3
117,162.json,pants-fire,rudy giuliani probably underqualified man since george bush seek presidency,job-accomplishments,joe-biden,U.S. senator,Delaware,democrat,11,10,21,16,4,Philadelphia,1,0,0,0,3
118,10768.json,FALSE,half presidents governors half senators,"congress,corrections-and-updates,elections,history,states",ted-cruz,Senator,Texas,republican,36,33,15,19,8,remarks in New Hampshire,-1,0,0,0,4
119,12593.json,mostly-true,britains vote leave european union within 24 hours americans lost 100 billion 401 k,"economy,retirement",hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,"remarks in Cincinnati, Ohio",0,-1,0.179,0,1
120,8164.json,mostly-true,medicaid spending declined 1 9 percent 2012 second decline 47 years,medicaid,kathleen-sebelius,U.S. Health and Human Services Secretary,Kansas,democrat,1,0,1,3,1,a speech,0,0,0,0,1
121,6520.json,TRUE,says 88 texas constables died line duty,"crime,criminal-justice,history,public-safety,public-service",bruce-elfant,"Constable, Travis County, Precinct 5",Texas,democrat,0,0,0,1,0,a press statement.,0,-1,0.265,1,0
122,9500.json,mostly-true,gov rick scott cut cost prepaid college tuition nearly 20 000,education,republican-party-florida,,,republican,10,6,6,6,4,a TV ad,1,-1,0.149,0,1
123,4629.json,mostly-true,city columbus would save 41 million year employees contribute guaranteed check pensions,"jobs,labor,unions",dave-yost,Ohio auditor,ohio,republican,1,0,0,1,0,a newspaper column,1,1,0.151,0,1
124,1593.json,TRUE,florida cfo shut krakow scam refunded 1 2 million josephine victims con man,job-accomplishments,alex-sink,,Florida,democrat,1,2,2,4,0,a fundraising e-mail to supporters,1,-1,0.231,0,0
125,10560.json,mostly-true,women getting computer sciences degrees 80s factor 2 plus,"education,technology,women",hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,a conference in Silicon Valley,1,0,0,0,1
126,7555.json,FALSE,air force wants taxpayers fund fantasy football league,"families,federal-budget,military",blog-posting,,,none,7,19,3,5,44,blog posts,1,0,0,0,4
127,6777.json,pants-fire,barack hussein obama force courts accept islamic sharia law domestic disputes,"islam,message-machine-2012",government-not-god-pac,,,none,1,2,0,0,3,a newspaper ad,0,0,0.028,0,3
128,11385.json,half-true,3 percent murders crimes committed guns people actually legally purchase guns,"crime,guns",joe-scarborough,Host of a morning show on MSNBC,,none,1,4,3,3,0,"a broadcast of MSNBC's ""Morning Joe""",1,-1,0.086,0,2
129,3836.json,mostly-true,neighborhood schools closing,"education,state-budget",texas-house-democratic-caucus,,Texas,democrat,0,0,0,1,0,a press release,0,0,0,0,1
130,325.json,mostly-true,told gay organizers massachusetts would stronger advocate special rights even ted kennedy,gays-and-lesbians,john-mccain,U.S. senator,Arizona,republican,31,39,31,37,8,an automated call to voters,1,1,0.249,0,1
131,2555.json,mostly-true,years speaker florida house consistently offered leaner budgets governor offered,"state-budget,taxes",marco-rubio,U.S. Senator,Florida,republican,33,24,32,35,5,an ABC News U.S. Senate debate.,1,0,0,0,1
132,7803.json,barely-true,already almost halfway 2010 goal creating 700 000 new jobs seven years,"economy,jobs",rick-scott,Governor,Florida,republican,28,23,38,34,7,2013-14 veto message,1,1,0.121,0,5
133,8985.json,TRUE,says u supreme court found social security guaranteed,social-security,david-jolly,,Florida,republican,4,0,1,1,0,a Congressional campaign debate,1,1,0.375,1,0
134,12021.json,FALSE,saysmichael bennet wants close guantanamo bay prisonand bring terrorists right colorado,"congress,terrorism",jon-keyser,,Colorado,republican,0,1,0,0,1,a candidate forum ,1,-1,0.24,0,4
135,2932.json,TRUE,oregonians amazing cost way fight abortion free political donations,"abortion,campaign-finance",oregon-right-life-pac,politican action committee,Oregon,none,0,0,0,0,0,a newspaper ad,1,1,0.228,0,0
136,11486.json,pants-fire,president said hes going bring 250 000 syrian iraqi refugees country,"foreign-policy,immigration,terrorism",sean-hannity,Radio/TV host,,none,3,5,3,2,1,"a segment of Fox News' ""Hannity""",0,0,0,0,3
137,7324.json,barely-true,research shows vast majority arriving immigrants today come believe government source prosperity thats support,"immigration,pundits",rush-limbaugh,Radio host,,none,9,11,5,2,10,a radio interview,0,1,0.097,0,5
138,4884.json,mostly-true,newt gingrichs immigration plan offers new doorway amnesty,immigration,mitt-romney,Former governor,Massachusetts,republican,34,32,58,33,19,a press conference,1,0,0,0,1
139,2257.json,FALSE,mr caprio career politician never worked private sector,candidates-biography,john-robitaille,,Rhode Island,republican,0,1,2,0,0,a campaign news release,0,0,0,0,4
